Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","124","Canada","511","Population totale","S2501","Population","2018","2018","1000 personnes","37075","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","840","États-Unis d'Amérique","511","Population totale","S2501","Population","2018","2018","1000 personnes","327096","X","Ciffre de sources internationales"
