Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","024","Angola","511","Population totale","S2501","Population","2018","2018","1000 personnes","30810","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","120","Cameroun","511","Population totale","S2501","Population","2018","2018","1000 personnes","25216","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","178","Congo","511","Population totale","S2501","Population","2018","2018","1000 personnes","5244","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","266","Gabon","511","Population totale","S2501","Population","2018","2018","1000 personnes","2119","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","140","République centrafricaine","511","Population totale","S2501","Population","2018","2018","1000 personnes","4666","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","180","République démocratique du Congo","511","Population totale","S2501","Population","2018","2018","1000 personnes","84068.09","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","678","Sao Tomé-et-Principe","511","Population totale","S2501","Population","2018","2018","1000 personnes","211","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","148","Tchad","511","Population totale","S2501","Population","2018","2018","1000 personnes","15478","X","Ciffre de sources internationales"
