Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","276","Allemagne","511","Population totale","S2501","Population","2018","2018","1000 personnes","83124","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","040","Autriche","511","Population totale","S2501","Population","2018","2018","1000 personnes","8891","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","511","Population totale","S2501","Population","2018","2018","1000 personnes","11482","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","250","France","511","Population totale","S2501","Population","2018","2018","1000 personnes","66931","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","442","Luxembourg","511","Population totale","S2501","Population","2018","2018","1000 personnes","604","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","528","Pays-Bas","511","Population totale","S2501","Population","2018","2018","1000 personnes","17060","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","756","Suisse","511","Population totale","S2501","Population","2018","2018","1000 personnes","8526","X","Ciffre de sources internationales"
