Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","242","Fidji","511","Population totale","S2501","Population","2018","2018","1000 personnes","883","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","090","Îles Salomon","511","Population totale","S2501","Population","2018","2018","1000 personnes","653","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","540","Nouvelle-Calédonie","511","Population totale","S2501","Population","2018","2018","1000 personnes","280","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","598","Papouasie-Nouvelle-Guinée","511","Population totale","S2501","Population","2018","2018","1000 personnes","8606","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","548","Vanuatu","511","Population totale","S2501","Population","2018","2018","1000 personnes","292.68","X","Ciffre de sources internationales"
