Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","511","Population totale","S2501","Population","2018","2018","1000 personnes","37172","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","050","Bangladesh","511","Population totale","S2501","Population","2018","2018","1000 personnes","161377","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","356","Inde","511","Population totale","S2501","Population","2018","2018","1000 personnes","1352642.28","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","364","Iran (République islamique d')","511","Population totale","S2501","Population","2018","2018","1000 personnes","81800","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","462","Maldives","511","Population totale","S2501","Population","2018","2018","1000 personnes","516","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","524","Népal","511","Population totale","S2501","Population","2018","2018","1000 personnes","28096","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","586","Pakistan","511","Population totale","S2501","Population","2018","2018","1000 personnes","212228","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","144","Sri Lanka","511","Population totale","S2501","Population","2018","2018","1000 personnes","21229","X","Ciffre de sources internationales"
