Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","258","Polynésie française","511","Population totale","S2501","Population","2018","2018","1000 personnes","278","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","882","Samoa","511","Population totale","S2501","Population","2018","2018","1000 personnes","196","X","Ciffre de sources internationales"
