Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","012","Algérie","511","Population totale","S2501","Population","2018","2018","1000 personnes","42228","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","818","Égypte","511","Population totale","S2501","Population","2018","2018","1000 personnes","98424","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","434","Libye","511","Population totale","S2501","Population","2018","2018","1000 personnes","6679","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","504","Maroc","511","Population totale","S2501","Population","2018","2018","1000 personnes","36029","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","729","Soudan","511","Population totale","S2501","Population","2018","2018","1000 personnes","41802","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","788","Tunisie","511","Population totale","S2501","Population","2018","2018","1000 personnes","11565","X","Ciffre de sources internationales"
