Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","036","Australie","511","Population totale","S2501","Population","2018","2018","1000 personnes","24898","X","Ciffre de sources internationales"
"FBS","Bilans Alimentaires (2010-)","554","Nouvelle-Zélande","511","Population totale","S2501","Population","2018","2018","1000 personnes","4743","X","Ciffre de sources internationales"
